Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
24,God's Plan,Drake,1552552,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-01,6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
25,rockstar (feat. 21 Savage),Post Malone,1532954,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-01-01,0e7ipj03S05BNilyu5bRzt,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
26,SAD!,XXXTENTACION,1520786,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-01,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
27,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1480647,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-01,2LskIZrCeLxRvCiGP8gxlh,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288
28,In My Mind,Dynoro,1434955,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,184560,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163
29,imagine,Ariana Grande,1415040,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-01,0todbbT9g5uQGbeFCiBf2F,0.374,0.714,212293,0.474,0.0,8,0.106,-4.993,1,0.039,62.484,3,0.376
30,Ella Quiere Beber - Remix,Anuel AA,1401784,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,2cYnZNzFRFK0H7vSNxPsUq,0.265,0.751,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,4,0.698
31,Better,Khalid,1355797,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-01,6zeeWid2sgw4lap2jV61PZ,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112
32,Promises (with Sam Smith),Calvin Harris,1354412,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-01,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
33,when the party's over,Billie Eilish,1354146,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-01,14JzyD6FlBD5z0wV5P07YI,0.979,0.498,199931,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205
34,One Kiss (with Dua Lipa),Calvin Harris,1349422,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-01-01,7ef4DlsgrMEH11cDZd32M6,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
35,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1327813,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-01,27rdGxbavYJeBphck5MZAF,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
36,Vaina Loca,Ozuna,1323457,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,176133,0.805,0.0,6,0.203,-4.249,1,0.0752,93.983,4,0.555
37,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1316696,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-01,5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,4,0.492
38,Leave Me Alone,Flipp Dinero,1288354,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-01,14mHfNsSHN0FbLftyjrV9g,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
