Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
50,You Need To Calm Down,Taylor Swift,131007,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-06-14,29fRTIKsJhLUJoldM89GZS,0.00838,0.769,171387,0.678,0.0,2,0.0596,-5.604,1,0.0507,85.025,4,0.706
31,Mamare Rebota,Guayna,173097,https://open.spotify.com/track/5eyMxSdSDoOMEwyM1llGY6,2019-06-19,5eyMxSdSDoOMEwyM1llGY6,0.186,0.82,202478,0.895,0.0,2,0.325,-2.735,1,0.275,90.09,4,0.909
49,Aleluya,Reik,130358,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM,2019-06-20,23CsjGOYDQiJpX44BSn9TM,0.0478,0.81,158480,0.716,0.0,8,0.0678,-2.3,1,0.0694,96.029,4,0.689
50,Ocean,KAROL G,123846,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,2019-06-20,6qoIFQfdmaQF9A1gb67tR7,0.933,0.727,155947,0.482,0.0,11,0.388,-6.193,1,0.115,74.93,4,0.487
13,Señorita,Shawn Mendes,331910,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,2019-06-21,0TK2YIli7K1leLovkQiNik,0.037,0.759,190960,0.54,0.0,9,0.0945,-6.039,0,0.0287,116.947,4,0.75
24,Runaway,Sebastian Yatra,217279,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-06-21,7BuSE9uTIw931wtZYzvZcQ,0.0336,0.756,200693,0.851,0.0,2,0.126,-3.33,1,0.0674,75.014,4,0.934
50,Loco Contigo (with J. Balvin & Tyga),DJ Snake,141759,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo,2019-06-21,1f38Gx6xQz6r4H1jGVNBJo,0.285,0.822,185195,0.743,2.31e-06,6,0.102,-3.04,0,0.0567,96.025,4,0.355
17,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,269699,https://open.spotify.com/track/4O4HtthxTvVL1Z1PuDb7GX,2019-06-22,4O4HtthxTvVL1Z1PuDb7GX,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
49,Latina (feat. Maluma),Reykon,138233,https://open.spotify.com/track/00Ia46AgCNfnXjzgH8PIKH,2019-06-22,00Ia46AgCNfnXjzgH8PIKH,0.0748,0.826,226739,0.713,0.0,9,0.331,-4.017,0,0.129,102.071,4,0.75
5,LA CANCIÓN,J Balvin,487066,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-06-28,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
8,QUE PRETENDES,J Balvin,425762,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-06-28,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
15,MOJAITA,J Balvin,339831,https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf,2019-06-28,71pEiUWwfDFiRO6RmFpnBf,0.0171,0.45,187333,0.842,0.0,0,0.377,-3.602,1,0.102,172.069,4,0.885
20,YO LE LLEGO,J Balvin,284062,https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T,2019-06-28,0uIfrUwwg0Z7KTitul7E3T,0.0104,0.785,249600,0.792,0.0,9,0.104,-4.695,0,0.0641,155.036,4,0.528
21,UN PESO,J Balvin,282992,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,2019-06-28,7hynhxDoDpgMIV12JuVtNa,0.125,0.627,277107,0.675,0.0,5,0.0784,-7.125,0,0.213,79.31,4,0.961
24,ODIO,J Balvin,246555,https://open.spotify.com/track/7alOsNr36sJ8CyOEP4aILq,2019-06-28,7alOsNr36sJ8CyOEP4aILq,0.215,0.74,270400,0.698,0.0,6,0.116,-3.838,0,0.0388,139.99,4,0.529
25,CUIDAO POR AHÍ,J Balvin,243203,https://open.spotify.com/track/6SYSu569pfYdkDT9A5lZqi,2019-06-28,6SYSu569pfYdkDT9A5lZqi,0.111,0.845,198320,0.813,0.00241,4,0.174,-2.979,0,0.077,90.98,4,0.586
31,COMO UN BEBÉ,J Balvin,219866,https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM,2019-06-28,7knLcYCOSaURD0d7HUULFM,0.0732,0.825,218827,0.807,4.79e-06,6,0.138,-5.753,1,0.0949,103.053,4,0.816
46,Si Supieras,Daddy Yankee,161781,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-06-29,7MRU4vOkywuhZ9kbFiPuiu,0.291,0.691,241880,0.894,0.0,9,0.104,-1.681,0,0.115,184.019,4,0.623
45,Tra Tra Tra (Remix),Ghetto Kids,143876,https://open.spotify.com/track/4pj77Vx66vvbodiwLt1wMH,2019-07-01,4pj77Vx66vvbodiwLt1wMH,0.0602,0.851,171159,0.72,5.8e-05,1,0.0278,-4.932,1,0.266,159.971,4,0.905
50,Goodbyes (Feat. Young Thug),Post Malone,128765,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-07-10,6vBdBCoOhKHiYDDOcorfNo,0.447,0.58,174960,0.653,0.0,5,0.111,-3.818,1,0.0745,150.231,4,0.175
49,Amor A Primera Vista,Los Angeles Azules,135765,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,2019-07-11,1E7RHPXA9sZ30qfms18J7J,0.223,0.675,221347,0.821,5.11e-05,0,0.149,-6.017,1,0.0668,170.163,4,0.96
20,bad guy (with Justin Bieber),Billie Eilish,255378,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,2019-07-12,3yNZ5r3LKfdmjoS3gkhUCT,0.252,0.67,194840,0.453,0.33,0,0.117,-11.265,1,0.295,135.055,4,0.68
24,I Don't Care (with Justin Bieber),Ed Sheeran,217984,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-07-12,0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.798,219947,0.675,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,0.842
31,Tra Tra Tra Remix,Ghetto Kids,188583,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,2019-07-12,4YqCBC4FwzGXuhixt5cgmm,0.0532,0.847,171000,0.736,0.000142,1,0.0302,-4.542,1,0.266,160.012,4,0.876
39,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,158697,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N,2019-07-12,2qRN7PWiHRLprw4FpDeI9N,0.333,0.747,200733,0.649,0.0,10,0.172,-6.218,0,0.219,88.011,4,0.84
26,Rebota - Remix,Guaynaa,210219,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,2019-07-13,3dWpRjCmaHbroNahuSeX11,0.205,0.885,262000,0.857,0.0,0,0.671,-2.279,0,0.204,90.025,4,0.818
47,Simplemente Gracias,Calibre 50,122950,https://open.spotify.com/track/5TVpVYcU47B23onx6llnvv,2019-07-14,5TVpVYcU47B23onx6llnvv,0.692,0.749,203480,0.59,1.44e-06,3,0.108,-6.039,1,0.0309,129.985,4,0.741
48,Por Eso Vine,Paulo Londra,134802,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,2019-07-16,5qN1G8fSHq4Sv5FRoOkNGu,0.233,0.76,178534,0.646,0.0,8,0.0905,-5.048,0,0.433,188.009,4,0.625
30,China,Anuel AA,187088,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-07-19,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609
46,How Do You Sleep?,Sam Smith,134908,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-23,6b2RcmUt1g9N9mQ3CbjX2Y,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
18,Loco Contigo,DJ Snake,236297,https://open.spotify.com/track/1fBXSMOusjaj7GjzErHmUI,2019-07-25,1fBXSMOusjaj7GjzErHmUI,0.276,0.823,185195,0.71,2.17e-06,6,0.152,-3.896,0,0.0688,96.024,4,0.376
